question,correct_answer_text,generated_answer,correct_option,predicted_option,is_correct
"Q.11. Element ""E"" belongs to the period 4 and group 16 of the periodic table. The valence shell electron configuration of the element, which is just above ""E"" in the group is (a) 3s 2 , 3p 4 (b) 3d 10 , 4s 2 , 4p 4 (c) 4d 10, 5s 2 , 5p 4 (d) 2s 2 , 2p 4",Correct Answer is Option (a),Correct Answer is Option (a),a,a,1
"Q.12. Given below are two statements. One is labelled as Assertion A and the other is labelled as Reason R. Assertion A : The first ionization enthalpy for oxygen is lower than that of nitrogen. Reason R : The four electrons in 2p orbitals of oxygen experience more electron-electron repulsion. In the light of the above statements, choose the correct answer from the options given below. (a) Both A and R are are correct and R is the correct explanation of A. (b) Both A and R are are correct but R is NOT the correct explanation of A. (c) A is correct but R is not correct. (d) A is not correct but R is correct.",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
Q.13. The electronic configuration of Pt (atomic number 78) is: (a) [Xe] 4f 14 5d 9 6s 1 (b) [Kr] 4f 14 5d 10 (c) [Xe] 4f 14 5d 10 (d) [Xe] 4f 14 5d 8 6s 2,Correct Answer is Option (a),Correct Answer is Option (a),a,a,1
Q.14. Identify the element for which electronic configuration in +3 oxidation state is [Ar]3d 5 : (a) Ru (b) Mn (c) Co (d) Fe,Correct Answer is Option (d),Correct Answer is Option (d),d,d,1
"Q.15. Match List - I with List - II : Choose the most appropriate answer from the options given below : (a) (A)-(i), (B)-(ii), (C)-(iii), (D)-(iv) (b) (A)-(iii), (B)-(iv), (C)-(ii), (D)-(i) (c) (A)-(i), (B)-(iv), (C)-(ii), (D)-(iii) (d) (A)-(iv), (B)-(ii), (C)-(iii), (D)-(i)",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
Q.16. The Eu 2+ ion is a strong reducing agent in spite of its ground state electronic configuration (outermost) : [Atomic number of Eu = 63] (a) 4f 7 6s 2 (b) 4f 6 (c) 4f 7 (d) 4f 6 6s 2,Correct Answer is Option (c),Correct Answer is Option (c),c,c,1
"Q.17. Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Metallic character decreases and non-metallic character increases on moving from left to right in a period. Reason (R) : It is due to increase in ionisation enthalpy and decrease in electron gain enthalpy, when one moves from left to right in a period. In the light of the above statements, choose the most appropriate answer from the options given below : (a) (A) is false but (R) is true. (b) (A) is true but (R) is false (c) Both (A) and (R) are correct and (R) is the correct explanation of (A) (d) Both (A) and (R) are correct but (R) is not the correct explanation of (A)",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
"Q.18. Which one of the following lanthanides exhibits +2 oxidation state with diamagnetic nature ? (Given Z for Nd = 60, Yb = 70, La = 57, Ce = 58) (a) Nd (b) Yb (c) La (d) Ce",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
Q.19. Which one of the following is used to remove most of plutonium from spent nuclear fuel? (a) ClF 3 (b) O 2 F 2 (c) I 2 O 5 (d) BrO 3,Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
"Q.20. The correct order of ionic radii for the ions, P 3− , S 2− , Ca 2+ , K + , Cl − is : (a) P 3− > S 2− >Cl − > K + > Ca 2+ (b) Cl − > S 2− > P 3− > Ca 2+ > K + (c) P 3− > S 2− > Cl − > Ca 2+ > K + (d) K + > Ca 2+ > P 3− > S 2− > Cl −",Correct Answer is Option (a),Correct Answer is Option (a),a,a,1
"Q.21. Choose the correct statement from the following : (a) The standard enthalpy of formation for alkali metal bromides becomes less negative on descending the group. (b) The low solubility of CsI in water is due to its high lattice enthalpy. (c) Among the alkali metal halides, LiF is least soluble in water. (d) LiF has least negative standard enthalpy of formation among alkali metal fluorides.",Correct Answer is Option (c),Correct Answer is Option (c),c,c,1
Q.22. In which one of the following molecules strongest back donation of an electron pair from halide to boron is expected? (a) BCl 3 (b) BF 3 (c) BBr 3 (d) BI 3,Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
"Q.23. Chalcogen group elements are : (a) Se, Tb and Pu. (b) Se, Te and Po. (c) S, Te and Pm. (d) O, Ti and Po.",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
Q.24. Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Barium carbonate is insoluble in water and is highly stable. Reason (R) : The thermal stability of the carbonates increases with increasing cationic size. (a) Both (A) and (R) are true and (R) is the true explanation of (A) (b) (A) is true but (R) is false (c) Both (A) and (R) are true but (R) is not the true explanation of (A) (d) (A) is false but (R) is true.,Correct Answer is Option (a),Correct Answer is Option (a),a,a,1
Q.25. The correct order of first ionisation enthalpy is : (a) Mg < S < Al < P (b) Mg < Al < S < P (c) Al < Mg < S < P (d) Mg < Al < P < S,Correct Answer is Option (c),Correct Answer is Option (c),c,c,1
"Q.26. The ionic radii of F − and O 2− respectively are 1.33Å and 1.4Å, while the covalent radius of N is 0.74Å. The correct statement for the ionic radius of N 3− from the following is : (a) It is smaller than F − and N (b) It is bigger than O 2− and F − (c) It is bigger than F − and N, but smaller than of O 2− (d) It is smaller than O 2− and F − , but bigger than of N",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
"Q.27. The ionic radii of K + , Na + , Al 3+ and Mg 2+ are in the order: (a) Na + < K + < Mg 2+ < Al 3+ (b) Al 3+ < Mg 2+ < K + < Na + (c) Al 3+ < Mg 2+ < Na + < K + (d) K + < Al 3+ < Mg 2+ < Na +",Correct Answer is Option (c),Correct Answer is Option (c),c,c,1
"Q.28. The set having ions which are coloured and paramagnetic both is - (a) Cu 2+ , Cr 3+ , Sc + (b) Cu 2+ , Zn 2+ , Mn 4+ (c) Sc 3+ , V 5+ , Ti 4+ (d) Ni 2+, Mn 7+ , Hg 2+",Correct Answer is Option (a),Correct Answer is Option (a),a,a,1
"Q.29. Which one of the following statements for D.I. Mendeleeff, is incorrect? (a) He authored the textbook - Principles of Chemistry (b) At the time, he proposed Periodic Table of elements structure of atom was known. (c) Element with atomic number 101 is named after him. (d) He invented accurate barometer.",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
"Q.30. The first ionization energy of magnesium is smaller as compared to that of elements X and Y, but higher than that of Z. The elements X, Y and Z, respectively, are : (a) neon, sodium and chlorine (b) argon, chlorine and sodium (c) chlorine, lithium and sodium (d) argon, lithium and sodium",Correct Answer is Option (b),Correct Answer is Option (b),b,b,1
"Q.31. The common positive oxidation states for an element with atomic number 24, are : (a) +1 and +3 (b) +2 to +6 (c) +1 to +6 (d) +1 and +3 to +6",Correct Answer is Option (b),The correct option is (a),b,a,0
Q.32. The absolute value of the electron gain enthalpy of halogens satisfies : (a) Cl > Br > F > I (b) Cl > F > Br > I (c) I > Br > Cl > F (d) F > Cl > Br > I,Correct Answer is Option (b),The correct option is (a),b,a,0
Q.33. Identify the elements X and Y using the ionisation energy values given below : (a) X = F; Y = Mg (b) X = Mg; Y = F (c) X = Na; Y = Mg (d) X = Mg; Y = Na,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.34. The characteristics of elements X, Y and Z with atomic numbers, respectively, 33, 53 and 83 are : (a) X and Y are metalloids and Z is a metal. (b) X and Z are non-metals and Y is a metalloid. (c) X is a metalloid, Y is a non-metal and Z is a metal. (d) X, Y and Z are metals.",Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.35. Given below are two statement : one is labelled as Assertion A and the other is labelled as Reason R : Assertion A : Size of Bk 3+ ion is less than Np 3+ ion. Reason R : The above is a consequence of the lanthanoid contraction. In the light of the above statements, choose the correct answer from the options given below: (a) Both A and B are true and R is the correct explanation of A (b) A is false but R is true (c) A is true but R is false (d) Both A and B are true but R is not the correct explanation of A",Correct Answer is Option (c),The correct option is (a),c,a,0
Q.36. The correct order of electron gain enthalpy is : (a) Te > Se > S > O (b) S > Se > Te > O (c) S > O > Se > Te (d) O > S > Se > Te,Correct Answer is Option (b),The correct option is (a),b,a,0
Q.37. Match List - I with List - II.,Correct Answer is Option (c),The correct option is (a),c,a,0
