question,correct_answer_text,generated_answer,correct_option,predicted_option,is_correct
"Q.15. Match List - I with List - II : Choose the most appropriate answer from the options given below : (a) (A)-(i), (B)-(ii), (C)-(iii), (D)-(iv) (b) (A)-(iii), (B)-(iv), (C)-(ii), (D)-(i) (c) (A)-(i), (B)-(iv), (C)-(ii), (D)-(iii) (d) (A)-(iv), (B)-(ii), (C)-(iii), (D)-(i)",Correct Answer is Option (b),The correct option is (a),c,a,0
Q.16. The Eu 2+ ion is a strong reducing agent in spite of its ground state electronic configuration (outermost) : [Atomic number of Eu = 63] (a) 4f 7 6s 2 (b) 4f 6 (c) 4f 7 (d) 4f 6 6s 2,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.17. Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Metallic character decreases and non-metallic character increases on moving from left to right in a period. Reason (R) : It is due to increase in ionisation enthalpy and decrease in electron gain enthalpy, when one moves from left to right in a period. In the light of the above statements, choose the most appropriate answer from the options given below : (a) (A) is false but (R) is true. (b) (A) is true but (R) is false (c) Both (A) and (R) are correct and (R) is the correct explanation of (A) (d) Both (A) and (R) are correct but (R) is not the correct explanation of (A)",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.18. Which one of the following lanthanides exhibits +2 oxidation state with diamagnetic nature ? (Given Z for Nd = 60, Yb = 70, La = 57, Ce = 58) (a) Nd (b) Yb (c) La (d) Ce",Correct Answer is Option (b),The correct option is (a),c,a,0
Q.19. Which one of the following is used to remove most of plutonium from spent nuclear fuel? (a) ClF 3 (b) O 2 F 2 (c) I 2 O 5 (d) BrO 3,Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.20. The correct order of ionic radii for the ions, P 3− , S 2− , Ca 2+ , K + , Cl − is : (a) P 3− > S 2− >Cl − > K + > Ca 2+ (b) Cl − > S 2− > P 3− > Ca 2+ > K + (c) P 3− > S 2− > Cl − > Ca 2+ > K + (d) K + > Ca 2+ > P 3− > S 2− > Cl −",Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.21. Choose the correct statement from the following : (a) The standard enthalpy of formation for alkali metal bromides becomes less negative on descending the group. (b) The low solubility of CsI in water is due to its high lattice enthalpy. (c) Among the alkali metal halides, LiF is least soluble in water. (d) LiF has least negative standard enthalpy of formation among alkali metal fluorides.",Correct Answer is Option (c),The correct option is (a),c,a,0
Q.22. In which one of the following molecules strongest back donation of an electron pair from halide to boron is expected? (a) BCl 3 (b) BF 3 (c) BBr 3 (d) BI 3,Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.23. Chalcogen group elements are : (a) Se, Tb and Pu. (b) Se, Te and Po. (c) S, Te and Pm. (d) O, Ti and Po.",Correct Answer is Option (b),The correct option is (a),c,a,0
Q.24. Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Barium carbonate is insoluble in water and is highly stable. Reason (R) : The thermal stability of the carbonates increases with increasing cationic size. (a) Both (A) and (R) are true and (R) is the true explanation of (A) (b) (A) is true but (R) is false (c) Both (A) and (R) are true but (R) is not the true explanation of (A) (d) (A) is false but (R) is true.,Correct Answer is Option (a),The correct option is (a),c,a,0
Q.25. The correct order of first ionisation enthalpy is : (a) Mg < S < Al < P (b) Mg < Al < S < P (c) Al < Mg < S < P (d) Mg < Al < P < S,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.26. The ionic radii of F − and O 2− respectively are 1.33Å and 1.4Å, while the covalent radius of N is 0.74Å. The correct statement for the ionic radius of N 3− from the following is : (a) It is smaller than F − and N (b) It is bigger than O 2− and F − (c) It is bigger than F − and N, but smaller than of O 2− (d) It is smaller than O 2− and F − , but bigger than of N",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.27. The ionic radii of K + , Na + , Al 3+ and Mg 2+ are in the order: (a) Na + < K + < Mg 2+ < Al 3+ (b) Al 3+ < Mg 2+ < K + < Na + (c) Al 3+ < Mg 2+ < Na + < K + (d) K + < Al 3+ < Mg 2+ < Na +",Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.28. The set having ions which are coloured and paramagnetic both is - (a) Cu 2+ , Cr 3+ , Sc + (b) Cu 2+ , Zn 2+ , Mn 4+ (c) Sc 3+ , V 5+ , Ti 4+ (d) Ni 2+, Mn 7+ , Hg 2+",Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.29. Which one of the following statements for D.I. Mendeleeff, is incorrect? (a) He authored the textbook - Principles of Chemistry (b) At the time, he proposed Periodic Table of elements structure of atom was known. (c) Element with atomic number 101 is named after him. (d) He invented accurate barometer.",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.30. The first ionization energy of magnesium is smaller as compared to that of elements X and Y, but higher than that of Z. The elements X, Y and Z, respectively, are : (a) neon, sodium and chlorine (b) argon, chlorine and sodium (c) chlorine, lithium and sodium (d) argon, lithium and sodium",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.31. The common positive oxidation states for an element with atomic number 24, are : (a) +1 and +3 (b) +2 to +6 (c) +1 to +6 (d) +1 and +3 to +6",Correct Answer is Option (b),The correct option is (a),c,a,0
Q.32. The absolute value of the electron gain enthalpy of halogens satisfies : (a) Cl > Br > F > I (b) Cl > F > Br > I (c) I > Br > Cl > F (d) F > Cl > Br > I,Correct Answer is Option (b),The correct option is (a),c,a,0
Q.33. Identify the elements X and Y using the ionisation energy values given below : (a) X = F; Y = Mg (b) X = Mg; Y = F (c) X = Na; Y = Mg (d) X = Mg; Y = Na,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.34. The characteristics of elements X, Y and Z with atomic numbers, respectively, 33, 53 and 83 are : (a) X and Y are metalloids and Z is a metal. (b) X and Z are non-metals and Y is a metalloid. (c) X is a metalloid, Y is a non-metal and Z is a metal. (d) X, Y and Z are metals.",Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.35. Given below are two statement : one is labelled as Assertion A and the other is labelled as Reason R : Assertion A : Size of Bk 3+ ion is less than Np 3+ ion. Reason R : The above is a consequence of the lanthanoid contraction. In the light of the above statements, choose the correct answer from the options given below: (a) Both A and B are true and R is the correct explanation of A (b) A is false but R is true (c) A is true but R is false (d) Both A and B are true but R is not the correct explanation of A",Correct Answer is Option (c),The correct option is (a),c,a,0
Q.36. The correct order of electron gain enthalpy is : (a) Te > Se > S > O (b) S > Se > Te > O (c) S > O > Se > Te (d) O > S > Se > Te,Correct Answer is Option (b),The correct option is (a),c,a,0
Q.37. Match List - I with List - II.,Correct Answer is Option (c),The correct option is (a),c,a,0
Q.38. The correct order of bond dissociation enthalpy of halogens is : (a) F 2 > Cl 2 > Br 2 > I 2 (b) Cl 2 > Br 2 > F 2 > I 2 (c) I 2 > Br 2 > Cl 2 > F 2 (d) Cl 2 > F 2 > Br 2 > I 2,Correct Answer is Option (b),The correct option is (a),c,a,0
Q.39. What is the correct order of the following elements with respect to their density? (a) Cr < Zn < Co < Cu < Fe (b) Cr < Fe < Co < Cu < Zn (c) Zn < Cr < Fe < Co < Cu (d) Zn < Cu < Co < Fe < Cr,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.40. Consider the elements Mg, Al, S, P and Si, the correct increasing order of their first ionization enthalpy is : (a) Al < Mg < Si < S < P (b) Al < Mg < S < Si < P (c) Mg < Al < Si < S < P (d) Mg < Al < Si < P < S",Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.41. Within each pair of elements F and Cl, S and Se, and Li and Na, respectively, the elements that release more energy upon an electron gain are [2020] (a) Cl, Se and Na (b) Cl, S and Li (c) F, S and Li (d) F, Se and Na",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.42. The first ionization energy (in kJ mol –1 ) of Na, Mg, Al and Si respectively, are [2020] (a) 496, 737, 577, 786 (b) 496, 577, 737, 786 (c) 786, 737, 577, 496 (d) 496, 577, 786, 737",Correct Answer is Option (a),The correct option is (a),c,a,0
Q.43. The increasing order of the atomic radii of the following elements is [2020] (I) C (II) O (III) F (IV) Cl (V) Br (a) (II) < (III) < (IV) < (I) < (V) (b) (IV) < (III) < (II) < (I) < (V) (c) (III) < (II) < (I) < (IV) < (V) (d) (I) < (II) < (III) < (IV) < (V),Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.44. B has a smaller first ionization enthalpy than Be. Consider the following statements: (I) It is easier to remove 2p electron than 2s electron. (II) 2p electron of B is more shielded from the nucleus by the inner core of electrons than the 2s electrons of Be. (III) 2s electron has more penetration power than 2p electron. (IV) Atomic radius of B is more than Be. (Atomic number B = 5, Be = 4) The correct statements are [2020] (a) (I), (II) and (IV) (b) (II), (III) and (IV) (c) (I), (II) and (III) (d) (I), (III) and (IV)",Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.45. The acidic, basic and amphoteric oxides, respectively, are [2020] (a) Na 2 O, SO 3 , Al 2 O 3 (b) Cl 2 O, CaO, P 4 O 10 (c) N 2 O 3 , Li 2 O, Al 2 O 3 (d) MgO, Cl 2 O, Al 2 O 3",Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.46. If the magnetic moment of a dioxygen species is 1.73 BM, it may be [2020] (a) (b) (c) (d)",Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.47. In general, the properties that decrease and increase down a group in the periodic table, respectively, are: [2019] (a) A tomic radius and electronegativity. (b) E lectron gain enthalpy and electronegativity. (c) E lectronegativity and atomic radius. (d) E lectronegativity and electron gain enthalpy.",Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.48. Aluminium is usually found in +3 oxidation state. In contrast, thallium exists in +1 and +3 oxidation states. This is due to: [2019] (a) Inert pair effect (b) Diagonal relationship (c) Lattice effect (d) Lanthanoid contraction",Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.49. When the first electron gain enthalpy(Δ e g H) of oxygen is - 141 kJ/mol, its second electron gain enthalpy is: [2019] (a) A more negative value than the first (b) A lmost the same as that of the first (c) N egative, but less negative than the first (d) A positive value",Correct Answer is Option (d),The correct option is (a),c,a,0
Q.50. The electronegativity of aluminium is similar to: [2019] (a) Carbon (b) Beryllium (c) Boron (d) Lithium,Correct Answer is Option (b),The correct option is (a),c,a,0
Q.51. The 71 st electron of an element X with an atomic number of 71 enters into the orbital: [2019] (a) 6p (b) 4f (c) 5d (d) 6s,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.52. The correct order of the atomic radii of C, Cs, Al, and S is: [2019] (a) C < S < Al < Cs (b) S < C < Cs < Al (c) S < C < Al < Cs (d) C < S < Cs < Al",Correct Answer is Option (a),The correct option is (a),c,a,0
Q.53. The correct option with respect to the Pauling electronegativity values of the elements is: [2019] (a) Te > Se (b) Ga<Ge (c) Si < Al (d) P > S,Correct Answer is Option (b),The correct option is (a),c,a,0
Q.54. The relative stability of +1 oxidation state of group 13 elements follows the order: [2019] (a) Al < Ga < Tl < In (b) Tl < In < Ga < Al (c) Ga < Al < In < Tl (d) Al < Ga < In < Tl,Correct Answer is Option (d),The correct option is (a),c,a,0
Q.55. The element with Z = 120 (not yet discovered) will be an/a: [2019] (a) Inner-transition metal (b) Alkaline earth metal (c) Alkali metal (d) Transition metal,Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.66. The size of the iso-electronic species Cl - , Ar and Ca 2+ is affected by: [2019] (a) A zimuthal quantum number of valence shell (b) E lectron-electron interaction in the outer orbitals (c) P rincipal quantum number of valence shell (d) N uclear charge",Correct Answer is Option (d),The correct option is (a),c,a,0
Q.57. The IUPAC symbol for the element with atomic number 119 would be: [2019] (a) uue (b) une (c) unh (d) uun,Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.58. The correct statements among I to III regarding group 13 element oxides are, [2019] (I) Boron trioxide is acidic. (II) Oxides of aluminium and gallium are amphoteric. (III) Oxides of indium and thallium are basic. (a) (I) and (II) only (b) (I), (II) and (III) (c) (I) and (III) only (d) (II) and (III) only",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.59. In comparison to boron, beryllium has: [2019] (a) L esser nuclear charge and lesser first ionisation enthalpy. (b) G reater nuclear charge and lesser first ionisation enthalpy. (c) G reater nuclear charge and greater first ionisation enthalpy. (d) L esser nuclear charge and greater first ionisation enthalpy.",Correct Answer is Option (d),The correct option is (a),c,a,0
"Q.60. For Na + , Mg 2+ , F - and O 2 - ; the correct order of increasing ionic radii is: [2018] (a) Na + < Mg 2+ < F - < O 2- (b) Mg 2 < N a + < F - < O 2- (c) Mg 2 + < O 2 - < Na + < F - (d) O 2 - < F - < Na + < Mg 2+",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.61. The group having isoelectronic species is [2017] (a) O 2 – , F – , Na + , Mg 2+ (b) O – , F – , Na, Mg + (c) O 2– , F – , Na, Mg 2+ (d) O – , F – , Na + , Mg 2+",Correct Answer is Option (a),The correct option is (a),c,a,0
Q.62. Consider the following ionization enthalpies of two elements ‘A’ and ‘B’. [2017] Which of the following statements is correct? (a) Both ‘A’ and ‘B’ belong to group-1 where ‘A’ comes below ‘B’. (b) Both ‘A’ and ‘B’ belong to group-2 where ‘A’ comes below ‘B’. (c) Both ‘A’ and ‘B’ belong to group-1 where ‘B’ comes below ‘A’. (d) Both ‘A’ and ‘B’ belong to group-2 where ‘B’ comes below ‘A’.,Correct Answer is Option (d),The correct option is (a),c,a,0
Q.63. The electronic configuration with the highest ionization enthalpy is: [2017] (a) [Ar] 3d 10 4s 2 4p 3 (b) [Ne] 3s 2 3p 1 (c) [Ne] 3s 2 3p 3 (d) [Ne] 3s 2 3p 2,Correct Answer is Option (c),The correct option is (a),c,a,0
Q.1. The IUPAC name of the complex [Pt(NH 3 ) 2 Cl(NH 2 CH 3 )]Cl is (a) diamminechlorido(methanamine)platinum(II)chloride. (b) diammine(methanamine)chloridoplatinum(II)chloride. (c) diamminechlorido(aminomethane)platinum(II)chloride. (d) bisammine(methanamine)chloridoplatinum(II)chloride.,a,The correct option is (a),a,a,1
Q.2. The theory that can completely/properly explain the nature of bonding in [Ni(CO) 4 ] is (a) Werner’s theory. (b) Molecular orbital theory. (c) Crystal field theory. (d) Valence bond theory,b,The correct option is (a),b,a,0
"Q.3. The number of possible optical isomers for the complexes MA 2 B 2 with sp 3 and dsp 2 hybridized metal atom, respectively, is Note: A and B are unidentate neutral and unidentate monoanionic ligands, respectively. (a) 0 and 2 (b) 2 and 2 (c) 0 and 0 (d) 0 and 1",c,The correct option is (a),c,a,0
"Q.4. Among the statements (I)-(IV), the incorrect ones are (I) Octahedral Co(III) complexes with strong field ligands have very high magnetic moments. (II) When Δ o < P, the d-electron configuration of Co(III) in an octahedral complex is (III) Wavelength of light absorbed by [Co(en) 3 ] 3+ is lower than that of (IV) If the Δ o for an octahedral complex of Co(III) is 18,000 cm −1 , the Δ t for its tetrahedral complex with the same ligand will be 16,000 cm −1 . (a) (I) and (IV) only (b) (III) and (IV) only (c) (I) and (II) only (d) (II) and (III) onl y",a,The correct option is (a),a,a,1
Q.5. The complex that can show fac- and mer- isomers is (a) [Co(NH 3 ) 4 Cl 2 ] + (b) [Pt(NH 3 ) 2 Cl 2 ] (c) [CoCl 2 (en) 2 ] (d) [Co(NH 3 ) 3 (NO 2 ) 3 ],d,The correct option is (a),d,a,0
"Q.7. Among (I) – (IV), the complexes that can display geometrical isomerism are (I) [Pt(NH 3 ) 2 Cl] + (II) [Pt(NH 3 ) 2 Cl 5 ]− (III) [Pt(NH 3 ) 2 Cl(NO 2 )] (IV) [Pt(NH 3 ) 4 ClBr] 2+ (a) (II) and (III) (b) (IV) and (I) (c) (III) and (IV) (d) (I) and (II)",c,The correct option is (a),c,a,0
Q.8. The correct order of the calculated spin-only magnetic moments of complexes (I) to (IV) is (I) Ni(CO) 4 (II) [Ni(H 2 O) 6 ]Cl 2 (III) Na 2 [Ni(CN) 4 ] (IV) PdCl 2 (PPh 3 ) 2 (a) (I) ≈ (III) < (II) ≈ (IV) (b) (III) < (IV) < (II) < (I) (c) (III) ≈ (IV) < (II) < (I) (d) (I) ≈ (III) ≈ (IV) < (II),c,The correct option is (a),c,a,0
Q.10. Complex X of composition Cr(H 2 O) 6 Cl n has a spin only magnetic moment of 3.83 BM. It reaches with AgNO 3 and shows geometrical isomerism. The IUPAC nomenclature of X is (a) hexaaqua choromium(III) chloride. (b) tetraaquadichlorido chromium (IV) chloride dihydrate. (c) dichloridotetraaqua chromium(IV) chloride dihydrate. (d) tetraaquadichlorido chromium (III) chloride dehydrate.,d,The correct option is (a),d,a,0
"Q.11. [Pd(F)(Cl)(Br)(I)] 2− has n number of geometrical isomers. Then, the spin-only magnetic moment and crystal field stabilization energy [CFSE] of [Fe(CN) 6 ] n – 6 , respectively, are [Note: Ignore the pairing energy] (a) 2.84 BM and −1.6 Δ o (b) 5.92 BM and 0 (c) 1.73 BM and −2.0 Δ o (d) 0 BM and −2.4 Δ o",c,The correct option is (a),c,a,0
Q.12. The correct order of the spin-only magnetic moments of the following complexes is (I) [Cr(H 2 O) 6 ]Br 2 (II) Na 4 [Fe(CN) 6 ] (III) Na 3 [Fe(C 2 O 4 ) 3 ] (Δ o > P) (IV) (Et 4 N) 2 [CoCl 4 ] (a) (III) > (I) > (IV) > (II) (b) (III) > (I) > (II) > (IV) (c) (I) > (IV) > (III) > (II) (d) (II) (I) > (IV) > (III),c,The correct option is (a),c,a,0
Q.13. 5 g of zinc is treated separately with an excess of (I) dilute hydrochloric acid and (II) aqueous sodium hydroxide The ratio of the volumes of H2 evolved in these two reactions is (a) 1 : 2 (b) 1 : 1 (c) 1 : 4 (d) 2 : 1,b,The correct option is (a),b,a,0
"Q.14. The isomer(s) of [Co(NH 3 ) 4 Cl 2 ] that has/have a Cl–Co–Cl angle of 90°, is/are (a) meridional and trans (b) cis and trans (c) trans only (d) cis only",d,The correct option is (a),d,a,0
Q.15. The atomic radius of Ag is closest to (a) Au (b) Ni (c) Cu (d) Hg,a,The correct option is (a),a,a,1
Q.17. The third ionization enthalpy is minimum for (a) Co (b) Fe (c) Ni (d) Mn,b,The correct option is (a),b,a,0
"Q.18. Assertion: For hydrogenation reactions, the catalytic activity increases from Group 5 to Group 11 metals with maximum activity shown by Group 7-9 elements. Reason: The reactants are most strongly adsorbed on Group 7-9 elements. (a) Both assertion and reason are true, and the reason is the correct explanation for the assertion. (b) Both assertion and reason are false. (c) Both assertion and reason are true, but the reason is not the correct explanation for the assertion. (d) Assertion is not true, but reason is true.",a,The correct option is (a),a,a,1
"Q.19. The electronic configurations of bivalent europium and trivalent cerium are (Atomic number: Xe = 54, Ce = 58, Eu = 64) (a) [Xe] 4f 2 and [Xe] 4f 7 (b) [Xe] 4f 7 and [Xe] 4f 1 (c) [Xe] 4f 7 6s 2 and [Xe] 4f 2 6s 2 (d) [Xe] 4f 4 and [Xe] 4f 9",b,The correct option is (a),b,a,0
Q.21. The transition element that has lowest enthalpy of atomisation is: (a) Fe (b) Cu (c) V (d) Zn,d,The correct option is (a),d,a,0
Q.22. The effect of lanthanoid contraction in the lanthanoid series of elements by and large means: (a) increase in both atomic and ionic radii (b) decrease in atomic radii and increase in ionic radii (c) decrease in both atomic and ionic radii (d) increase in atomic radii and decrease in ionic radii,c,The correct option is (a),c,a,0
"Q.23. The electrolytes usually used in the electroplating of gold and silver, respectively, are: (a) [Au (CN) 2 ] and [Ag(CN) 2 ] - (b) [Au(CN) 2 ] - and [AgCl 2 ] - (c) [Au(OH) 4 ] - and [Ag(OH) 2 ] - (d) [Au(NH 3 ) 2 ] + and [Ag(CN) 2 ] -",a,The correct option is (a),a,a,1
Q.24. The element that usually does NOT show variable oxidation states is: (a) Cu (b) Ti (c) Sc (d) V,c,The correct option is (a),c,a,0
Q.25. Mn 2 (CO) 10 is an organometallic compound due to the presence of: (a) Mn-C bond (b) Mn-Mn bond (c) Mn-O bond (d) C-O bond,a,The correct option is (a),a,a,1
Q.26. The correct order of atomic radii is: (a) N>Ce>Eu>Ho (b) Ho>N>Eu>Ce (c) Ce> Eu>Ho>N (d) Eu>Ce>Ho>N,d,The correct option is (a),d,a,0
Q.27. The lanthanide ion that would show colour is: (a) Gd 3+ (b) Sm 3+ (c) La 3+ (d) Lu 3+,b,The correct option is (a),b,a,0
Q.28. The statement that is INCORRECT about the interstitial compounds is: (a) they are chemically reactive. (b) they are very hard. (c) they have metallic conductivity. (d) they have high melting points.,a,The correct option is (a),a,a,1
Q.29. The maximum number of possible oxidation states of actinoides are shown by: (a) Nobelium (No) and lawrencium (Lr) (b) Actinium (Ac) and thorium (Th) (c) Berkelium (Bk) and californium (Cf) (d) Neptunium (Np) and plutonium (Pu),d,The correct option is (a),d,a,0
"Q.30. Consider the hydrated ions of Ti 2+ , V 2+ , Ti 3+ , and Sc 3+ . The correct order of their spin-only magnetic moments is: (a) V 2+ < Ti 2+ < Ti 3+ < Sc 3+ (b) Sc 3+ < Ti 3+ < Ti 2+ < V 2+ (c) Ti 3+ < Ti 2+ < Sc 3+ < V 2+ (d) Sc 3+ < Ti 3+ < V 2+ < Ti 2+",b,The correct option is (a),b,a,0
"Q.31. The highest possible oxidation states of uranium and plutonium, respectively, are: (a) 6 and 7 (b) 6 and 4 (c) 7 and 6 (d) 4 and 6",a,The correct option is (a),a,a,1
Q.32. The correct order of the first ionization enthalpies is: (a) Ti < Mn < Zn < Ni (b) Ti < Mn < Ni < Zn (c) Mn < Ti < Zn < Ni (d) Zn < Ni < Mn < Ti,b,The correct option is (a),b,a,0
Q.33. The pair that has similar atomic radii is: (a) Mn and Re (b) Ti and Hf (c) Sc and Ni (d) Mo and W,d,The correct option is (a),d,a,0
"Q.34. Two complexes [Cr (H 2 O) 6 ] Cl 3 (A) and [Cr (NH 3 ) 6 ] Cl 3 (B) are violet and yellow coloured, respectively. The incorrect statement regarding them is: (a) Δ 0 values of (A) and (B) are calculated from the energies of violet and yellow light, respectively. (b) both are paramagnetic with three unpaired electrons. (c) both absorb energies corresponding to their complementary colors. (d) Δ 0 value for (A) is less than that of (B).",a,The correct option is (a),a,a,1
Q.35. The highest value of the calculated spin only magnetic moment (in BM) among all the transition metal complexes is: (a) 5.92 (b) 6.93 (c) 3.87 (d) 4.90,a,The correct option is (a),a,a,1
"Q.37. Homoleptic octahedral complexes of a metal ion 'M 3+ ' with three monodentate ligands L 1 , L 2 and L 3 absorb wavelengths in the region of green, blue and red respectively. The increasing order of the ligand strength is: (a) L 3 < L 1 < L 2 (b) L 3 < L 2 < L 1 (c) L 1 < L 2 < L 3 (d) L 2 < L 1 < L 3",a,The correct option is (a),a,a,1
Q.38. The total number of isomers for a square planar complex [M(F)(Cl)(SCN)(NO 2 )] is: (a) 16 (b) 8 (c) 4 (d) 12,d,The correct option is (a),d,a,0
Q.39. The difference in the number of unpaired electrons of a metal ion in its high-spin and low-spin octahedral complexes is two. The metal ion is: (a) Ni 2+ (b) Fe 2+ (c) Co 2+ (d) Mn 2+,c,The correct option is (a),c,a,0
"Q.40. A reaction of cobalt(III) chloride and ethylenediamine in a 1 : 2 mole ratio generates two isomeric products A (violet coloured) and B (green coloured). A can show optical activity, but, B is optically inactive. What type of isomers does A and B represent? (a) Geometrical isomers (b) Coordination isomers (c) Linkage isomers (d) Ionisation isomers",a,The correct option is (a),a,a,1
Q.41. Match the metals (column I) with the coordination compound(s)/enzyme(s) (column II): (a) (A)-(iii); (B)-(iv); (C)-(i); (D)-(ii) (b) (A)-(i); (B)-(ii); (C)-(iii); (D)-(iv) (c) (A)-(ii); (B)-(i); (C)-(iv); (D)-(iii) (d) (A)-(iv); (B)-(iii); (C)-(i); (D)-(ii),a,The correct option is (a),a,a,1
